,Unnamed: 0,video_id,start,end,text,video_link,vid_path
5,5,J9u1Cl49xlw.en,00:00:33.450,00:00:38.239, social media are also important,https://www.youtube.com/watch?v=J9u1Cl49xlw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/J9u1Cl49xlw.en.vtt
30,30,J9u1Cl49xlw.en,00:03:02.349,00:03:06.910, in the hands itamaraty the exceptions and the session is is very,https://www.youtube.com/watch?v=J9u1Cl49xlw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/J9u1Cl49xlw.en.vtt
106,106,J9u1Cl49xlw.en,00:09:56.120,00:10:01.800, coopting brings artists famous people paper died account would not be the end crosses,https://www.youtube.com/watch?v=J9u1Cl49xlw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/J9u1Cl49xlw.en.vtt
148,148,J9u1Cl49xlw.en,00:14:13.610,00:14:18.590, defending is on our radar are humble people who were co-opted,https://www.youtube.com/watch?v=J9u1Cl49xlw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/J9u1Cl49xlw.en.vtt
163,163,J9u1Cl49xlw.en,00:15:43.270,00:15:46.600, has its very important value is the national media,https://www.youtube.com/watch?v=J9u1Cl49xlw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/J9u1Cl49xlw.en.vtt
176,176,J9u1Cl49xlw.en,00:16:51.570,00:16:55.950," right in the fight against corruption, diversion fraud and",https://www.youtube.com/watch?v=J9u1Cl49xlw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/J9u1Cl49xlw.en.vtt
238,238,J9u1Cl49xlw.en,00:22:30.020,00:22:35.970, acceptance of the defense that all of conversation discuss no matter a measure alone,https://www.youtube.com/watch?v=J9u1Cl49xlw.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/J9u1Cl49xlw.en.vtt
275,275,2tB4XLKXSeI.en,00:01:57.600,00:02:01.920, Miracatu maternity hospital you can see my brother Renato and the captain,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
370,370,2tB4XLKXSeI.en,00:12:21.120,00:12:26.529, Globo's marketer is fixing up I haven't checked yet,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
388,388,2tB4XLKXSeI.en,00:14:11.920,00:14:18.430, them and corruption based on the three determinations of the Lord and,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
393,393,2tB4XLKXSeI.en,00:14:44.200,00:14:47.490," Corruption Ah ok, I won't go into detail here",https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
395,395,2tB4XLKXSeI.en,00:14:55.079,00:15:00.709, avoiding the condition of President the best way to fight corruption is to prevent,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
401,401,2tB4XLKXSeI.en,00:15:37.980,00:15:43.820, months of government we don't have a step of systemic corruption within the government,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
402,402,2tB4XLKXSeI.en,00:15:43.820,00:15:50.280, President Jair Bolsonaro's government has been an example of combating corruption at,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
410,410,2tB4XLKXSeI.en,00:16:30.209,00:16:36.510, there is also something who is André the minister Captain Wagner who is the,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
411,411,2tB4XLKXSeI.en,00:16:36.510,00:16:41.720, Captain Wagner Wilson at the price of CG the beans what is,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
414,414,2tB4XLKXSeI.en,00:16:54.830,00:17:01.570, anti-corruption integrity it has programs there is no clue what it is,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
418,418,2tB4XLKXSeI.en,00:17:26.030,00:17:31.550, you are for So who is there Captain Wagner that the captain of the army did,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
419,419,2tB4XLKXSeI.en,00:17:31.550,00:17:36.590, Black Needles Academy tendered for ever needs Army Captain,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
437,437,2tB4XLKXSeI.en,00:19:29.150,00:19:34.820, here was the focus of corruption and completely changed look at the ports of,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
439,439,2tB4XLKXSeI.en,00:19:41.570,00:19:46.460, secretariat within the ministry to prevent corruption has to delegate,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
465,465,2tB4XLKXSeI.en,00:21:54.880,00:21:59.080, what you have left you always had an exempt position regarding this and objective,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
