,Unnamed: 0,video_id,start,end,text,video_link,vid_path
502,502,2tB4XLKXSeI.en,00:25:30.160,00:25:35.169, don't wear a mask it's a chain there's no use for a project like this one is the skin,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
505,505,2tB4XLKXSeI.en,00:25:45.620,00:25:51.140, good then prison sentence for those who wear a mask she fine right I see your love,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
508,508,2tB4XLKXSeI.en,00:26:02.420,00:26:07.550, here you have it b ****** not going black but who wears old mask,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
509,509,2tB4XLKXSeI.en,00:26:07.550,00:26:13.070, Brazilian B ****** cannot be arrested but those who are not wearing a mask will go home,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
1913,1913,F9jXlF2ExQE.en,00:05:28.010,00:05:34.520, quarantine social isolation suspension of activities you who are not working,https://www.youtube.com/watch?v=F9jXlF2ExQE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/F9jXlF2ExQE.en.vtt
1934,1934,F9jXlF2ExQE.en,00:07:25.189,00:07:28.740, we should in the middle and there is to go for vertical isolation,https://www.youtube.com/watch?v=F9jXlF2ExQE.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/F9jXlF2ExQE.en.vtt
7543,7543,ZLIUvoZDSFc.en,00:00:57.249,00:01:01.749, complications there may be more serious complications then i'm wearing a mask,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7600,7600,ZLIUvoZDSFc.en,00:05:30.170,00:05:34.970, appropriate mask for that to pass my side that I still remain under,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7606,7606,ZLIUvoZDSFc.en,00:05:57.260,00:06:00.890, masked people here the interpreter the brand president everybody,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7607,7607,ZLIUvoZDSFc.en,00:06:00.890,00:06:04.910, used to seeing that broad smile from the president came in a mask and saw the,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7608,7608,ZLIUvoZDSFc.en,00:06:04.910,00:06:09.200, minister with this mask is different hers is blue and mine but this shape,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7611,7611,ZLIUvoZDSFc.en,00:06:20.570,00:06:25.220, meet with a mask like this is the reason we put it on to show how,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
7677,7677,ZLIUvoZDSFc.en,00:12:09.130,00:12:13.080, president is going to have to dispatch from here we are going to recommend the isolation,https://www.youtube.com/watch?v=ZLIUvoZDSFc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/ZLIUvoZDSFc.en.vtt
8668,8668,rSO0DszwUbA.en,00:31:48.519,00:31:54.339, is completely from the end of the quarantine isolation they forgot the,https://www.youtube.com/watch?v=rSO0DszwUbA.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/rSO0DszwUbA.en.vtt
8669,8669,rSO0DszwUbA.en,00:31:54.339,00:31:58.690, social distancing from wearing masks is now no problem because it is a,https://www.youtube.com/watch?v=rSO0DszwUbA.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/rSO0DszwUbA.en.vtt
8731,8731,rSO0DszwUbA.en,00:38:09.420,00:38:17.000, operations here were the mask of more than 30 yard exercises,https://www.youtube.com/watch?v=rSO0DszwUbA.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/rSO0DszwUbA.en.vtt
9210,9210,XceWFVE7QLc.en,00:23:53.480,00:23:59.090, measures taken by many governors and mayors of total isolation ok,https://www.youtube.com/watch?v=XceWFVE7QLc.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/XceWFVE7QLc.en.vtt
