,Unnamed: 0,video_id,start,end,text,video_link,vid_path
522,522,2tB4XLKXSeI.en,00:27:19.360,00:27:22.690, Supreme itself a decision that recently had nothing to do with a pandemic,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
770,770,2tB4XLKXSeI.en,00:50:52.310,00:50:57.420, criminalizing it off the streets in terms of a pandemic that you’re not in time to,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
783,783,2tB4XLKXSeI.en,00:52:04.039,00:52:08.869, the pandemic as mismanagement we have I also had Gilmar Mendes,https://www.youtube.com/watch?v=2tB4XLKXSeI.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/2tB4XLKXSeI.en.vtt
1354,1354,Un8SXCrtzj8.en,00:49:02.360,00:49:07.520, still due to the pandemic and if the possibility of such a second wave that,https://www.youtube.com/watch?v=Un8SXCrtzj8.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Un8SXCrtzj8.en.vtt
1664,1664,Un8SXCrtzj8.en,01:17:33.610,01:17:37.720, that he did throughout this pandemic that if this virus has you have a,https://www.youtube.com/watch?v=Un8SXCrtzj8.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Un8SXCrtzj8.en.vtt
1680,1680,Un8SXCrtzj8.en,01:18:52.300,01:18:58.810, pandemic which is to repeat is black look what he did the name four years is gone,https://www.youtube.com/watch?v=Un8SXCrtzj8.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/Un8SXCrtzj8.en.vtt
2514,2514,jR_m23OHPWU.en,00:12:14.260,00:12:19.899, to day care what awaits after pandemic this quarantine president I,https://www.youtube.com/watch?v=jR_m23OHPWU.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/jR_m23OHPWU.en.vtt
2515,2515,jR_m23OHPWU.en,00:12:19.899,00:12:25.720, I assure you we will have numbers after the pandemic with everything else,https://www.youtube.com/watch?v=jR_m23OHPWU.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/jR_m23OHPWU.en.vtt
2916,2916,SEFkWHg7MZ0.en,00:00:14.880,00:00:19.949, cause of the 19 color pandemic I would also like to thank all the,https://www.youtube.com/watch?v=SEFkWHg7MZ0.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/SEFkWHg7MZ0.en.vtt
4473,4473,NgHTsoMMBxk.en,00:10:22.690,00:10:28.750, anti-fluorine program with four more 4 billion points that fail to spend,https://www.youtube.com/watch?v=NgHTsoMMBxk.en,/Users/dumoura/Dev/PDev/PoliticalRemix/Lives_da_Semana/Notebook_IngDef/cache/subs/NgHTsoMMBxk.en.vtt
